,date,year,stage,home_team,away_team,home_score,away_score,outcome,winner,decided_by_shootout,is_host_match,neutral,city,country,home_team_rank,away_team_rank
145,2002-06-10,2002,group,Portugal,Poland,4,0,home_win,Portugal,False,False,True,Jeonju,South Korea,5,38
146,2002-06-10,2002,group,South Korea,United States,1,1,draw,,False,True,False,Daegu,South Korea,40,13
147,2002-06-10,2002,group,Tunisia,Belgium,1,1,draw,,False,False,True,Ōita,Japan,31,23
148,2002-06-11,2002,group,Cameroon,Germany,0,2,away_win,Germany,False,False,True,Fukuroi,Japan,17,11
149,2002-06-11,2002,group,Denmark,France,2,0,home_win,Denmark,False,False,True,Incheon,South Korea,20,1
150,2002-06-11,2002,group,Saudi Arabia,Republic of Ireland,0,3,away_win,Republic of Ireland,False,False,True,Yokohama,Japan,34,15
151,2002-06-11,2002,group,Senegal,Uruguay,3,3,draw,,False,False,True,Suwon,South Korea,42,24
152,2002-06-12,2002,group,Nigeria,England,0,0,draw,,False,False,True,Osaka,Japan,27,12
153,2002-06-12,2002,group,Slovenia,Paraguay,1,3,away_win,Paraguay,False,False,True,Seogwipo,South Korea,25,18
154,2002-06-12,2002,group,South Africa,Spain,2,3,away_win,Spain,False,False,True,Daejeon,South Korea,37,8
155,2002-06-12,2002,group,Sweden,Argentina,1,1,draw,,False,False,True,Rifu,Japan,19,3
156,2002-06-13,2002,group,Costa Rica,Brazil,2,5,away_win,Brazil,False,False,True,Suwon,South Korea,29,2
157,2002-06-13,2002,group,Ecuador,Croatia,1,0,home_win,Ecuador,False,False,True,Yokohama,Japan,36,21
158,2002-06-13,2002,group,Mexico,Italy,1,1,draw,,False,False,True,Ōita,Japan,7,6
159,2002-06-13,2002,group,Turkey,China,3,0,home_win,Turkey,False,False,True,Seoul,South Korea,22,50
160,2002-06-14,2002,group,Belgium,Russia,3,2,home_win,Belgium,False,False,True,Fukuroi,Japan,23,28
161,2002-06-14,2002,group,Japan,Tunisia,2,0,home_win,Japan,False,True,False,Osaka,Japan,32,31
162,2002-06-14,2002,group,Poland,United States,3,1,home_win,Poland,False,False,True,Daejeon,South Korea,38,13
163,2002-06-14,2002,group,South Korea,Portugal,1,0,home_win,South Korea,False,True,False,Incheon,South Korea,40,5
164,2002-06-15,2002,knockout,Denmark,England,0,3,away_win,England,False,False,True,Niigata,Japan,20,12
165,2002-06-15,2002,knockout,Germany,Paraguay,1,0,home_win,Germany,False,False,True,Seogwipo,South Korea,11,18
166,2002-06-16,2002,knockout,Spain,Republic of Ireland,1,1,draw,Spain,True,False,True,Suwon,South Korea,8,15
167,2002-06-16,2002,knockout,Sweden,Senegal,1,2,away_win,Senegal,False,False,True,Ōita,Japan,19,42
168,2002-06-17,2002,knockout,Brazil,Belgium,2,0,home_win,Brazil,False,False,True,Kobe,Japan,2,23
169,2002-06-17,2002,knockout,Mexico,United States,0,2,away_win,United States,False,False,True,Jeonju,South Korea,7,13
170,2002-06-18,2002,knockout,Japan,Turkey,0,1,away_win,Turkey,False,True,False,Rifu,Japan,32,22
171,2002-06-18,2002,knockout,South Korea,Italy,2,1,home_win,South Korea,False,True,False,Daejeon,South Korea,40,6
172,2002-06-21,2002,knockout,England,Brazil,1,2,away_win,Brazil,False,False,True,Fukuroi,Japan,12,2
173,2002-06-21,2002,knockout,Germany,United States,1,0,home_win,Germany,False,False,True,Ulsan,South Korea,11,13
174,2002-06-22,2002,knockout,Senegal,Turkey,0,1,away_win,Turkey,False,False,True,Osaka,Japan,42,22
175,2002-06-22,2002,knockout,South Korea,Spain,0,0,draw,South Korea,True,True,False,Gwangju,South Korea,40,8
176,2002-06-25,2002,knockout,South Korea,Germany,0,1,away_win,Germany,False,True,False,Seoul,South Korea,40,11
177,2002-06-26,2002,knockout,Brazil,Turkey,1,0,home_win,Brazil,False,False,True,Saitama,Japan,2,22
178,2002-06-29,2002,knockout,South Korea,Turkey,2,3,away_win,Turkey,False,True,False,Daegu,South Korea,40,22
179,2002-06-30,2002,knockout,Germany,Brazil,0,2,away_win,Brazil,False,False,True,Yokohama,Japan,11,2
180,2006-06-09,2006,group,Germany,Costa Rica,4,2,home_win,Germany,False,True,False,Munich,Germany,19,26
181,2006-06-09,2006,group,Poland,Ecuador,0,2,away_win,Ecuador,False,False,True,Gelsenkirchen,Germany,29,39
182,2006-06-10,2006,group,Argentina,Ivory Coast,2,1,home_win,Argentina,False,False,True,Hamburg,Germany,9,32
183,2006-06-10,2006,group,England,Paraguay,1,0,home_win,England,False,False,True,Frankfurt,Germany,10,33
184,2006-06-10,2006,group,Trinidad and Tobago,Sweden,0,0,draw,,False,False,True,Dortmund,Germany,47,16
185,2006-06-11,2006,group,Angola,Portugal,0,1,away_win,Portugal,False,False,True,Cologne,Germany,57,7
186,2006-06-11,2006,group,Mexico,Iran,3,1,home_win,Mexico,False,False,True,Nuremberg,Germany,4,23
187,2006-06-11,2006,group,Serbia,Netherlands,0,1,away_win,Netherlands,False,False,True,Leipzig,Germany,44,3
188,2006-06-12,2006,group,Australia,Japan,3,1,home_win,Australia,False,False,True,Kaiserslautern,Germany,42,18
189,2006-06-12,2006,group,Italy,Ghana,2,0,home_win,Italy,False,False,True,Hanover,Germany,13,48
190,2006-06-12,2006,group,United States,Czech Republic,0,3,away_win,Czech Republic,False,False,True,Gelsenkirchen,Germany,5,2
191,2006-06-13,2006,group,Brazil,Croatia,1,0,home_win,Brazil,False,False,True,Berlin,Germany,1,23
192,2006-06-13,2006,group,France,Switzerland,0,0,draw,,False,False,True,Stuttgart,Germany,8,35
193,2006-06-13,2006,group,South Korea,Togo,2,1,home_win,South Korea,False,False,True,Frankfurt,Germany,29,61
194,2006-06-14,2006,group,Germany,Poland,1,0,home_win,Germany,False,True,False,Dortmund,Germany,19,29
195,2006-06-14,2006,group,Spain,Ukraine,4,0,home_win,Spain,False,False,True,Leipzig,Germany,5,45
196,2006-06-14,2006,group,Tunisia,Saudi Arabia,2,2,draw,,False,False,True,Munich,Germany,21,34
197,2006-06-15,2006,group,Ecuador,Costa Rica,3,0,home_win,Ecuador,False,False,True,Hamburg,Germany,39,26
198,2006-06-15,2006,group,England,Trinidad and Tobago,2,0,home_win,England,False,False,True,Nuremberg,Germany,10,47
199,2006-06-15,2006,group,Sweden,Paraguay,1,0,home_win,Sweden,False,False,True,Berlin,Germany,16,33
200,2006-06-16,2006,group,Argentina,Serbia,6,0,home_win,Argentina,False,False,True,Gelsenkirchen,Germany,9,44
201,2006-06-16,2006,group,Mexico,Angola,0,0,draw,,False,False,True,Hanover,Germany,4,57
202,2006-06-16,2006,group,Netherlands,Ivory Coast,2,1,home_win,Netherlands,False,False,True,Stuttgart,Germany,3,32
203,2006-06-17,2006,group,Czech Republic,Ghana,0,2,away_win,Ghana,False,False,True,Cologne,Germany,2,48
204,2006-06-17,2006,group,Italy,United States,1,1,draw,,False,False,True,Kaiserslautern,Germany,13,5
205,2006-06-17,2006,group,Portugal,Iran,2,0,home_win,Portugal,False,False,True,Frankfurt,Germany,7,23
